,address,Route Name,Route Latitude,Route Longitude,Venue,Venue Summary,Venue Category,Distance,Address,Neighborhood Latitude,Neighborhood Longitude,Route_Name
0,,,,,artigiani del Cibo,This spot is popular,Italian Restaurant,465,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
1,,,,,The Old Five Bells,This spot is popular,Pub,481,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
2,,,,,Costa Coffee,This spot is popular,Coffee Shop,630,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
3,,,,,The Bee,This spot is popular,Bar,680,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
4,,,,,Tesco Express,This spot is popular,Grocery Store,539,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
5,,,,,Burnham Park,This spot is popular,Park,132,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
6,,,,,The Garibaldi,This spot is popular,Bar,311,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
7,,,,,Akash Tandoori,This spot is popular,Indian Restaurant,356,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
8,,,,,Ye Olde Swan,This spot is popular,Bar,451,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
9,,,,,Peppers Indian Restaurant,This spot is popular,Indian Restaurant,507,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
10,,,,,Tesco Express,This spot is popular,Grocery Store,528,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
11,,,,,Burnham Delight Cafe,This spot is popular,Café,553,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
12,,,,,Whole Creations Ltd,This spot is popular,Food & Drink Shop,630,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
13,,,,,Burnham Village Store,This spot is popular,Convenience Store,641,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
14,,,,,End Of Night Kebab Van,This spot is popular,Food Truck,820,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
15,,,,,Platform 2,This spot is popular,Platform,940,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
16,,,,,Roll With It,This spot is popular,Food Truck,942,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
17,,,,,Platform 1,This spot is popular,Platform,956,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
18,,,,,Big Ben's Fish and Chips,This spot is popular,English Restaurant,965,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
19,,,,,Mark Seymour Photography,This spot is popular,Photography Studio,966,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
20,,,,,Burnham Railway Station (BNM),This spot is popular,Train Station,946,SL1 7JA Windsor Lane,51.5303218,-0.6543888000000001,Windsor Lane
21,,,,,The Range,This spot is popular,Furniture / Home Store,504,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
22,,,,,Smyths Toys,This spot is popular,Toy / Game Store,434,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
23,,,,,Costa Coffee,This spot is popular,Coffee Shop,877,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
24,,,,,Costa Coffee,This spot is popular,Coffee Shop,852,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
25,,,,,Matalan,This spot is popular,Clothing Store,483,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
26,,,,,Kings Head,This spot is popular,Pub,802,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
27,,,,,McDonald's,This spot is popular,Fast Food Restaurant,502,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
28,,,,,Johal Premier Express,This spot is popular,Convenience Store,327,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
29,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,327,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
30,,,,,Asda,This spot is popular,Supermarket,460,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
31,,,,,Jet Garage,This spot is popular,Auto Workshop,595,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
32,,,,,Starbucks,This spot is popular,Coffee Shop,878,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
33,,,,,DFS,This spot is popular,Furniture / Home Store,586,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
34,,,,,O2 Canteen,This spot is popular,Restaurant,854,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
35,,,,,Currys PC World,This spot is popular,Electronics Store,698,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
36,,,,,The king and i,This spot is popular,Chinese Restaurant,717,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
37,,,,,Londis,This spot is popular,Convenience Store,783,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
38,,,,,Absolutely Karting,This spot is popular,Go Kart Track,846,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
39,,,,,Zorba's,This spot is popular,Food Truck,947,SL1 9AA Telford Drive,51.5112233,-0.6278630000000001,Telford Drive
40,,,,,The Range,This spot is popular,Furniture / Home Store,574,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
41,,,,,Smyths Toys,This spot is popular,Toy / Game Store,500,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
42,,,,,Costa Coffee,This spot is popular,Coffee Shop,940,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
43,,,,,Costa Coffee,This spot is popular,Coffee Shop,932,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
44,,,,,Matalan,This spot is popular,Clothing Store,563,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
45,,,,,McDonald's,This spot is popular,Fast Food Restaurant,426,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
46,,,,,Kings Head,This spot is popular,Pub,800,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
47,,,,,Asda,This spot is popular,Supermarket,382,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
48,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,389,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
49,,,,,Johal Premier Express,This spot is popular,Convenience Store,389,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
50,,,,,Jet Garage,This spot is popular,Auto Workshop,676,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
51,,,,,Starbucks,This spot is popular,Coffee Shop,942,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
52,,,,,O2 Canteen,This spot is popular,Restaurant,918,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
53,,,,,DFS,This spot is popular,Furniture / Home Store,659,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
54,,,,,Currys PC World,This spot is popular,Electronics Store,756,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
55,,,,,Londis,This spot is popular,Convenience Store,757,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
56,,,,,The king and i,This spot is popular,Chinese Restaurant,793,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
57,,,,,Absolutely Karting,This spot is popular,Go Kart Track,925,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
58,,,,,Zorba's,This spot is popular,Food Truck,992,SL1 9AB Telford Drive,51.51060649999999,-0.6284768000000001,Telford Drive
59,,,,,The Range,This spot is popular,Furniture / Home Store,366,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
60,,,,,Smyths Toys,This spot is popular,Toy / Game Store,301,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
61,,,,,Costa Coffee,This spot is popular,Coffee Shop,825,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
62,,,,,Costa Coffee,This spot is popular,Coffee Shop,739,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
63,,,,,Matalan,This spot is popular,Clothing Store,355,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
64,,,,,Premier Inn Slough West (Slough Trading Estate) hotel,This spot is popular,Hotel,974,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
65,,,,,Three Tuns,This spot is popular,Pub,943,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
66,,,,,Pizza Hut,This spot is popular,Pizza Place,904,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
67,,,,,Johal Premier Express,This spot is popular,Convenience Store,201,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
68,,,,,JK's Fish And Chips,This spot is popular,Fish & Chips Shop,202,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
69,,,,,Kings Head,This spot is popular,Pub,877,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
70,,,,,McDonald's,This spot is popular,Fast Food Restaurant,612,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
71,,,,,Domino's Pizza,This spot is popular,Pizza Place,922,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
72,,,,,Jet Garage,This spot is popular,Auto Workshop,479,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
73,,,,,DFS,This spot is popular,Furniture / Home Store,447,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
74,,,,,Starbucks,This spot is popular,Coffee Shop,826,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
75,,,,,Slough Kebab,This spot is popular,Kebab Restaurant,957,SL1 9AD Telford Drive,51.5119254,-0.6261985999999999,Telford Drive
