address,lat,longi,Route_Name,Locality_Name,postal_town,Admin_level3,Admin_level2,Admin_level1,country
SL0 9RR Market Lane,51.5058576,-0.5299518,Market Lane,Slough,Iver,,Slough,England,United Kingdom
SL1 0SB Bath Road,51.480619700000005,-0.4343643,Bath Road,Slough,Iver,,Greater London,England,United Kingdom
SL1 0SD Bath Road,51.519997,-0.6424373000000001,Bath Road,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SE Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SF Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SG Bath Road,51.412886900000004,-1.4104711,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SH Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SJ Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SL Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SN Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0SP Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0TB Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0TD Bath Road,51.5160443,-0.6249064999999999,A4,Slough,Slough,,Greater London,England,United Kingdom
SL1 0TE Bath Road,51.480619700000005,-0.4343643,Bath Road,Slough,Slough,,Greater London,England,United Kingdom
SL1 0TF Bath Road,51.51998630000001,-0.6527284000000001,Bath Road,Slough,Slough,,Greater London,England,United Kingdom
SL1 1AE Church Street,51.50733049999999,-0.5937334,Church Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1AG High Street,51.5106099,-0.5993324000000001,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1AN Hawtrey Close,51.507859100000005,-0.5767064000000001,Hawtrey Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1AQ High Street,51.507554600000006,-0.5855764,Hawtrey Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1AW Queensmere Road,51.5094352,-0.5893254000000001,Queensmere Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1BD High Street,51.5074411,-0.5863537,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1BN High Street,51.5076215,-0.5873764,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1BX High Street,51.5074411,-0.5863537,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1BY High Street,51.50790679999999,-0.5894560000000001,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1DB Queensmere,51.5094352,-0.5893254000000001,Queensmere Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1DD Queensmere,51.5094352,-0.5893254000000001,Queensmere Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1DG Queensmere,51.50990119999999,-0.5925815000000001,Queensmere Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1DH High Street,51.5093319,-0.5949839,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1DN High Street,51.5089849,-0.5933212999999999,High Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1DQ Queensmere,51.5094352,-0.5893254000000001,Queensmere Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1DS High Street,51.5086809,-0.5921394,High Street,Slough,Slough,,Slough,England,United Kingdom
